desc,municipio,aglomeracion_urbana,estado
Educación,75.81,84.82,Tultitlán
Tasa de alfabetización,97.4,95.61,Tultitlán
Promedio de años de escolaridad,54.21,74.03,Tultitlán
Seguridad y protección,64.24,58.47,Tultitlán
Tasa de homicidios,64.24,58.47,Tultitlán
Espacio público,48.17,66.67,Tultitlán
Accesibilidad al espacio público abierto,71.56,81.43,Tultitlán
Áreas verdes per cápita,24.77,51.92,Tultitlán
EQUIDAD E INCLUSIÓN SOCIAL,62.85,73.19,Tultitlán
Equidad económica,49.42,53.43,Tultitlán
Coeﬁciente de Gini,62.47,58.01,Tultitlán
Tasa de pobreza,36.37,48.84,Tultitlán
Inclusión social,80.49,73.12,Tultitlán
Viviendas en barrios precarios,96.02,77.21,Tultitlán
Desempleo juvenil,64.96,69.02,Tultitlán
Inclusión de género,58.63,93.04,Tultitlán
Inscripción equitativa en educación a nivel secundario,58.63,93.04,Tultitlán
SOSTENIBILIDAD AMBIENTAL,59.49,39.37,Tultitlán
Calidad del aire,68.69,62.03,Tultitlán
Número de estaciones de monitoreo,100.0,100.0,Tultitlán
Concentraciones de material particulado,60.0,40.0,Tultitlán
Concentración de CO2,46.08,46.08,Tultitlán
Manejo de residuos,50.29,56.09,Tultitlán
Recolección de residuos sólidos,98.77,94.37,Tultitlán
Tratamiento de aguas residuales,1.8,17.8,Tultitlán
Energía,0.0,0.0,Tultitlán
Proporción de generación de energía renovable,0.0,0.0,Tultitlán
GOBERNANZA Y LEGISLACIÓN URBANA,50.36,33.36,Tultitlán
Participación y rendición de cuentas,43.65,55.8,Tultitlán
Participación electoral,43.65,55.8,Tultitlán
Capacidad institucional y ﬁnanzas municipales,39.74,44.27,Tultitlán
Recaudación de ingresos propios,3.42,21.57,Tultitlán
Deuda subnacional,19.22,11.24,Tultitlán
Eﬁciencia del gasto local,96.59,100.0,Tultitlán
Gobernanza de la urbanización,67.68,0.0,Tultitlán
Eﬁciencia en el uso de suelo,67.68,0.0,Tultitlán
PRODUCTIVIDAD,44.48,,Villa Guerrero
Crecimiento económico,29.1,,Villa Guerrero
Producto urbano per cápita,0.0,,Villa Guerrero
Relación de dependencia de la tercera edad,58.21,,Villa Guerrero
Aglomeración económica,34.48,,Villa Guerrero
Densidad económica,34.48,,Villa Guerrero
Empleo,69.86,,Villa Guerrero
Tasa de desempleo,88.82,,Villa Guerrero
Relación empleo-población,50.9,,Villa Guerrero
INFRAESTRUCTURA DE DESARROLLO,48.65,,Villa Guerrero
Infraestructura de vivienda,63.3,,Villa Guerrero
Vivienda durable,57.32,,Villa Guerrero
Acceso a agua mejorada,90.42,,Villa Guerrero
Espacio habitable suﬁciente,100.0,,Villa Guerrero
Densidad poblacional,5.47,,Villa Guerrero
Infraestructura social,31.89,,Villa Guerrero
Densidad de médicos,31.89,,Villa Guerrero
Infraestructura de comunicaciones,32.12,,Villa Guerrero
Acceso a Internet,10.13,,Villa Guerrero
Velocidad de banda ancha promedio,54.1,,Villa Guerrero
Movilidad urbana,100.0,,Villa Guerrero
Longitud de transporte masivo,,,Villa Guerrero
Fatalidades de tránsito,100.0,,Villa Guerrero
Forma urbana,15.96,,Villa Guerrero
Densidad de la interconexión vial,29.12,,Villa Guerrero
Densidad vial,0.0,,Villa Guerrero
Superﬁcie destinada a vías,18.77,,Villa Guerrero
CALIDAD DE VIDA,70.42,,Villa Guerrero
Salud,86.64,,Villa Guerrero
Esperanza de vida al nacer,73.27,,Villa Guerrero
Tasa de mortalidad de menores de 5 años,100.0,,Villa Guerrero
Educación,60.61,,Villa Guerrero
Tasa de alfabetización,90.08,,Villa Guerrero
Promedio de años de escolaridad,31.14,,Villa Guerrero
Seguridad y protección,61.66,,Villa Guerrero
Tasa de homicidios,61.66,,Villa Guerrero
Espacio público,72.79,,Villa Guerrero
Accesibilidad al espacio público abierto,45.58,,Villa Guerrero
Áreas verdes per cápita,100.0,,Villa Guerrero
EQUIDAD E INCLUSIÓN SOCIAL,68.7,,Villa Guerrero
Equidad económica,41.23,,Villa Guerrero
Coeﬁciente de Gini,55.68,,Villa Guerrero
Tasa de pobreza,26.79,,Villa Guerrero
Inclusión social,90.84,,Villa Guerrero
Viviendas en barrios precarios,83.86,,Villa Guerrero
Desempleo juvenil,97.83,,Villa Guerrero
Inclusión de género,74.01,,Villa Guerrero
Inscripción equitativa en educación a nivel secundario,74.01,,Villa Guerrero
SOSTENIBILIDAD AMBIENTAL,35.62,,Villa Guerrero
Calidad del aire,23.04,,Villa Guerrero
Número de estaciones de monitoreo,,,Villa Guerrero
Concentraciones de material particulado,0.0,,Villa Guerrero
Concentración de CO2,46.08,,Villa Guerrero
Manejo de residuos,48.2,,Villa Guerrero
Recolección de residuos sólidos,92.22,,Villa Guerrero
Tratamiento de aguas residuales,4.18,,Villa Guerrero
Energía,0.0,,Villa Guerrero
Proporción de generación de energía renovable,0.0,,Villa Guerrero
GOBERNANZA Y LEGISLACIÓN URBANA,65.77,,Villa Guerrero
Participación y rendición de cuentas,64.3,,Villa Guerrero
Participación electoral,64.3,,Villa Guerrero
Capacidad institucional y ﬁnanzas municipales,33.02,,Villa Guerrero
Recaudación de ingresos propios,0.0,,Villa Guerrero
Deuda subnacional,0.0,,Villa Guerrero
Eﬁciencia del gasto local,99.07,,Villa Guerrero
Gobernanza de la urbanización,100.0,,Villa Guerrero
Eﬁciencia en el uso de suelo,100.0,,Villa Guerrero
PRODUCTIVIDAD,33.53,,Villa Victoria
Crecimiento económico,30.62,,Villa Victoria
Producto urbano per cápita,0.0,,Villa Victoria
Relación de dependencia de la tercera edad,61.23,,Villa Victoria
Aglomeración económica,38.47,,Villa Victoria
Densidad económica,38.47,,Villa Victoria
Empleo,31.5,,Villa Victoria
Tasa de desempleo,48.49,,Villa Victoria
Relación empleo-población,14.52,,Villa Victoria
INFRAESTRUCTURA DE DESARROLLO,54.06,,Villa Victoria
Infraestructura de vivienda,59.05,,Villa Victoria
Vivienda durable,88.88,,Villa Victoria
Acceso a agua mejorada,43.19,,Villa Victoria
Espacio habitable suﬁciente,100.0,,Villa Victoria
Densidad poblacional,4.14,,Villa Victoria
Infraestructura social,31.43,,Villa Victoria
Densidad de médicos,31.43,,Villa Victoria
Infraestructura de comunicaciones,28.0,,Villa Victoria
Acceso a Internet,1.91,,Villa Victoria
Velocidad de banda ancha promedio,54.1,,Villa Victoria
Movilidad urbana,100.0,,Villa Victoria
Longitud de transporte masivo,,,Villa Victoria
Fatalidades de tránsito,100.0,,Villa Victoria
Forma urbana,51.8,,Villa Victoria
Densidad de la interconexión vial,81.68,,Villa Victoria
Densidad vial,40.72,,Villa Victoria
Superﬁcie destinada a vías,33.0,,Villa Victoria
CALIDAD DE VIDA,69.62,,Villa Victoria
Salud,80.24,,Villa Victoria
Esperanza de vida al nacer,73.27,,Villa Victoria
Tasa de mortalidad de menores de 5 años,87.2,,Villa Victoria
Educación,54.92,,Villa Victoria
Tasa de alfabetización,84.83,,Villa Victoria
Promedio de años de escolaridad,25.0,,Villa Victoria
Seguridad y protección,70.5,,Villa Victoria
Tasa de homicidios,70.5,,Villa Victoria
Espacio público,72.82,,Villa Victoria
Accesibilidad al espacio público abierto,45.64,,Villa Victoria
Áreas verdes per cápita,100.0,,Villa Victoria
EQUIDAD E INCLUSIÓN SOCIAL,36.59,,Villa Victoria
Equidad económica,40.26,,Villa Victoria
Coeﬁciente de Gini,56.02,,Villa Victoria
Tasa de pobreza,24.5,,Villa Victoria
Inclusión social,54.06,,Villa Victoria
Viviendas en barrios precarios,42.02,,Villa Victoria
Desempleo juvenil,66.09,,Villa Victoria
Inclusión de género,15.46,,Villa Victoria
Inscripción equitativa en educación a nivel secundario,15.46,,Villa Victoria
SOSTENIBILIDAD AMBIENTAL,23.02,,Villa Victoria
Calidad del aire,23.04,,Villa Victoria
Número de estaciones de monitoreo,,,Villa Victoria
Concentraciones de material particulado,0.0,,Villa Victoria
Concentración de CO2,46.08,,Villa Victoria
Manejo de residuos,23.0,,Villa Victoria
Recolección de residuos sólidos,43.9,,Villa Victoria
Tratamiento de aguas residuales,2.11,,Villa Victoria
Energía,0.0,,Villa Victoria
Proporción de generación de energía renovable,0.0,,Villa Victoria
GOBERNANZA Y LEGISLACIÓN URBANA,61.22,,Villa Victoria
Participación y rendición de cuentas,71.69,,Villa Victoria
Participación electoral,71.69,,Villa Victoria
Capacidad institucional y ﬁnanzas municipales,28.65,,Villa Victoria
Recaudación de ingresos propios,0.0,,Villa Victoria
Deuda subnacional,0.0,,Villa Victoria
Eﬁciencia del gasto local,85.94,,Villa Victoria
Gobernanza de la urbanización,83.31,,Villa Victoria
Eﬁciencia en el uso de suelo,83.31,,Villa Victoria
PRODUCTIVIDAD,44.16,62.44,Zinacantepec
Crecimiento económico,37.9,55.16,Zinacantepec
Producto urbano per cápita,8.06,43.49,Zinacantepec
Relación de dependencia de la tercera edad,67.73,66.84,Zinacantepec
Aglomeración económica,48.82,73.07,Zinacantepec
Densidad económica,48.82,73.07,Zinacantepec
Empleo,45.76,66.38,Zinacantepec
Tasa de desempleo,54.17,78.71,Zinacantepec
Relación empleo-población,37.36,54.05,Zinacantepec
INFRAESTRUCTURA DE DESARROLLO,47.09,55.15,Zinacantepec
Infraestructura de vivienda,75.95,83.7,Zinacantepec
Vivienda durable,91.62,90.63,Zinacantepec
Acceso a agua mejorada,92.6,88.34,Zinacantepec
Espacio habitable suﬁciente,100.0,100.0,Zinacantepec
Densidad poblacional,19.57,55.83,Zinacantepec
Infraestructura social,22.43,59.19,Zinacantepec
Densidad de médicos,22.43,59.19,Zinacantepec
Infraestructura de comunicaciones,39.39,33.89,Zinacantepec
Acceso a Internet,24.69,24.33,Zinacantepec
Velocidad de banda ancha promedio,54.1,43.44,Zinacantepec
Movilidad urbana,47.93,41.51,Zinacantepec
Longitud de transporte masivo,0.0,0.0,Zinacantepec
Fatalidades de tránsito,95.85,83.02,Zinacantepec
Forma urbana,49.74,57.45,Zinacantepec
Densidad de la interconexión vial,81.52,88.61,Zinacantepec
Densidad vial,31.54,43.05,Zinacantepec
Superﬁcie destinada a vías,36.17,40.68,Zinacantepec
CALIDAD DE VIDA,69.87,67.51,Zinacantepec
Salud,76.36,61.62,Zinacantepec
Esperanza de vida al nacer,73.27,70.86,Zinacantepec
Tasa de mortalidad de menores de 5 años,79.46,52.39,Zinacantepec
Educación,70.35,79.52,Zinacantepec
Tasa de alfabetización,94.26,93.5,Zinacantepec
Promedio de años de escolaridad,46.43,65.53,Zinacantepec
Seguridad y protección,74.05,57.98,Zinacantepec
Tasa de homicidios,74.05,57.98,Zinacantepec
Espacio público,58.71,70.92,Zinacantepec
Accesibilidad al espacio público abierto,41.69,100.0,Zinacantepec
Áreas verdes per cápita,75.72,41.85,Zinacantepec
EQUIDAD E INCLUSIÓN SOCIAL,68.59,71.33,Zinacantepec
Equidad económica,37.23,46.75,Zinacantepec
Coeﬁciente de Gini,44.31,55.94,Zinacantepec
Tasa de pobreza,30.15,37.56,Zinacantepec
Inclusión social,74.06,73.71,Zinacantepec
Viviendas en barrios precarios,89.31,74.08,Zinacantepec
Desempleo juvenil,58.81,73.33,Zinacantepec
Inclusión de género,94.5,93.53,Zinacantepec
Inscripción equitativa en educación a nivel secundario,94.5,93.53,Zinacantepec
SOSTENIBILIDAD AMBIENTAL,34.27,37.68,Zinacantepec
Calidad del aire,23.04,35.36,Zinacantepec
Número de estaciones de monitoreo,,60.0,Zinacantepec
Concentraciones de material particulado,0.0,0.0,Zinacantepec
Concentración de CO2,46.08,46.08,Zinacantepec
Manejo de residuos,45.5,77.69,Zinacantepec
Recolección de residuos sólidos,86.01,89.0,Zinacantepec
Tratamiento de aguas residuales,5.0,66.39,Zinacantepec
Energía,0.0,0.0,Zinacantepec
Proporción de generación de energía renovable,0.0,0.0,Zinacantepec
GOBERNANZA Y LEGISLACIÓN URBANA,54.75,31.74,Zinacantepec
Participación y rendición de cuentas,54.87,54.72,Zinacantepec
Participación electoral,54.87,54.72,Zinacantepec
Capacidad institucional y ﬁnanzas municipales,46.94,40.51,Zinacantepec
Recaudación de ingresos propios,0.0,11.39,Zinacantepec
Deuda subnacional,44.02,10.76,Zinacantepec
Eﬁciencia del gasto local,96.82,99.38,Zinacantepec
Gobernanza de la urbanización,62.45,0.0,Zinacantepec
Eﬁciencia en el uso de suelo,62.45,0.0,Zinacantepec
PRODUCTIVIDAD,59.38,65.22,Cuautitlán Izcalli
Crecimiento económico,52.07,56.05,Cuautitlán Izcalli
Producto urbano per cápita,48.17,55.35,Cuautitlán Izcalli
Relación de dependencia de la tercera edad,55.97,56.75,Cuautitlán Izcalli
Aglomeración económica,73.52,81.64,Cuautitlán Izcalli
Densidad económica,73.52,81.64,Cuautitlán Izcalli
Empleo,52.54,67.15,Cuautitlán Izcalli
Tasa de desempleo,63.85,76.56,Cuautitlán Izcalli
Relación empleo-población,41.23,57.74,Cuautitlán Izcalli
INFRAESTRUCTURA DE DESARROLLO,57.31,66.91,Cuautitlán Izcalli
Infraestructura de vivienda,83.23,90.98,Cuautitlán Izcalli
Vivienda durable,97.34,87.54,Cuautitlán Izcalli
Acceso a agua mejorada,94.8,93.92,Cuautitlán Izcalli
Espacio habitable suﬁciente,100.0,100.0,Cuautitlán Izcalli
Densidad poblacional,40.77,82.46,Cuautitlán Izcalli
Infraestructura social,29.78,69.56,Cuautitlán Izcalli
Densidad de médicos,29.78,69.56,Cuautitlán Izcalli
Infraestructura de comunicaciones,54.89,37.34,Cuautitlán Izcalli
Acceso a Internet,55.68,31.24,Cuautitlán Izcalli
Velocidad de banda ancha promedio,54.1,43.44,Cuautitlán Izcalli
Movilidad urbana,50.0,56.31,Cuautitlán Izcalli
Longitud de transporte masivo,0.0,22.43,Cuautitlán Izcalli
Fatalidades de tránsito,100.0,90.2,Cuautitlán Izcalli
Forma urbana,68.64,80.37,Cuautitlán Izcalli
Densidad de la interconexión vial,100.0,100.0,Cuautitlán Izcalli
Densidad vial,52.27,76.9,Cuautitlán Izcalli
Superﬁcie destinada a vías,53.66,64.2,Cuautitlán Izcalli
CALIDAD DE VIDA,77.19,68.26,Cuautitlán Izcalli
Salud,86.64,63.05,Cuautitlán Izcalli
Esperanza de vida al nacer,73.27,71.6,Cuautitlán Izcalli
Tasa de mortalidad de menores de 5 años,100.0,54.51,Cuautitlán Izcalli
Educación,79.53,84.82,Cuautitlán Izcalli
Tasa de alfabetización,97.93,95.61,Cuautitlán Izcalli
Promedio de años de escolaridad,61.14,74.03,Cuautitlán Izcalli
Seguridad y protección,65.4,58.47,Cuautitlán Izcalli
Tasa de homicidios,65.4,58.47,Cuautitlán Izcalli
Espacio público,77.2,66.67,Cuautitlán Izcalli
Accesibilidad al espacio público abierto,58.58,81.43,Cuautitlán Izcalli
Áreas verdes per cápita,95.82,51.92,Cuautitlán Izcalli
EQUIDAD E INCLUSIÓN SOCIAL,72.37,73.19,Cuautitlán Izcalli
Equidad económica,50.97,53.43,Cuautitlán Izcalli
Coeﬁciente de Gini,57.17,58.01,Cuautitlán Izcalli
Tasa de pobreza,44.78,48.84,Cuautitlán Izcalli
Inclusión social,82.47,73.12,Cuautitlán Izcalli
Viviendas en barrios precarios,97.33,77.21,Cuautitlán Izcalli
Desempleo juvenil,67.61,69.02,Cuautitlán Izcalli
Inclusión de género,83.67,93.04,Cuautitlán Izcalli
Inscripción equitativa en educación a nivel secundario,83.67,93.04,Cuautitlán Izcalli
SOSTENIBILIDAD AMBIENTAL,63.99,39.37,Cuautitlán Izcalli
Calidad del aire,53.04,62.03,Cuautitlán Izcalli
Número de estaciones de monitoreo,,100.0,Cuautitlán Izcalli
Concentraciones de material particulado,60.0,40.0,Cuautitlán Izcalli
Concentración de CO2,46.08,46.08,Cuautitlán Izcalli
Manejo de residuos,74.94,56.09,Cuautitlán Izcalli
Recolección de residuos sólidos,98.84,94.37,Cuautitlán Izcalli
Tratamiento de aguas residuales,51.05,17.8,Cuautitlán Izcalli
Energía,0.0,0.0,Cuautitlán Izcalli
Proporción de generación de energía renovable,0.0,0.0,Cuautitlán Izcalli
GOBERNANZA Y LEGISLACIÓN URBANA,43.42,33.36,Cuautitlán Izcalli
Participación y rendición de cuentas,50.25,55.8,Cuautitlán Izcalli
Participación electoral,50.25,55.8,Cuautitlán Izcalli
Capacidad institucional y ﬁnanzas municipales,45.25,44.27,Cuautitlán Izcalli
Recaudación de ingresos propios,27.02,21.57,Cuautitlán Izcalli
Deuda subnacional,13.89,11.24,Cuautitlán Izcalli
Eﬁciencia del gasto local,94.85,100.0,Cuautitlán Izcalli
Gobernanza de la urbanización,34.77,0.0,Cuautitlán Izcalli
Eﬁciencia en el uso de suelo,34.77,0.0,Cuautitlán Izcalli
PRODUCTIVIDAD,48.26,65.22,Valle de Chalco Solidaridad
Crecimiento económico,35.4,56.05,Valle de Chalco Solidaridad
Producto urbano per cápita,1.3,55.35,Valle de Chalco Solidaridad
Relación de dependencia de la tercera edad,69.49,56.75,Valle de Chalco Solidaridad
Aglomeración económica,56.13,81.64,Valle de Chalco Solidaridad
Densidad económica,56.13,81.64,Valle de Chalco Solidaridad
Empleo,53.25,67.15,Valle de Chalco Solidaridad
Tasa de desempleo,62.25,76.56,Valle de Chalco Solidaridad
Relación empleo-población,44.25,57.74,Valle de Chalco Solidaridad
INFRAESTRUCTURA DE DESARROLLO,54.3,66.91,Valle de Chalco Solidaridad
Infraestructura de vivienda,91.89,90.98,Valle de Chalco Solidaridad
Vivienda durable,76.4,87.54,Valle de Chalco Solidaridad
Acceso a agua mejorada,98.04,93.92,Valle de Chalco Solidaridad
Espacio habitable suﬁciente,100.0,100.0,Valle de Chalco Solidaridad
Densidad poblacional,93.12,82.46,Valle de Chalco Solidaridad
Infraestructura social,27.05,69.56,Valle de Chalco Solidaridad
Densidad de médicos,27.05,69.56,Valle de Chalco Solidaridad
Infraestructura de comunicaciones,42.96,37.34,Valle de Chalco Solidaridad
Acceso a Internet,31.82,31.24,Valle de Chalco Solidaridad
Velocidad de banda ancha promedio,54.1,43.44,Valle de Chalco Solidaridad
Movilidad urbana,29.29,56.31,Valle de Chalco Solidaridad
Longitud de transporte masivo,0.0,22.43,Valle de Chalco Solidaridad
Fatalidades de tránsito,58.58,90.2,Valle de Chalco Solidaridad
Forma urbana,80.29,80.37,Valle de Chalco Solidaridad
Densidad de la interconexión vial,100.0,100.0,Valle de Chalco Solidaridad
Densidad vial,55.9,76.9,Valle de Chalco Solidaridad
Superﬁcie destinada a vías,84.96,64.2,Valle de Chalco Solidaridad
CALIDAD DE VIDA,62.34,68.26,Valle de Chalco Solidaridad
Salud,72.34,63.05,Valle de Chalco Solidaridad
Esperanza de vida al nacer,73.27,71.6,Valle de Chalco Solidaridad
Tasa de mortalidad de menores de 5 años,71.4,54.51,Valle de Chalco Solidaridad
Educación,68.84,84.82,Valle de Chalco Solidaridad
Tasa de alfabetización,94.96,95.61,Valle de Chalco Solidaridad
Promedio de años de escolaridad,42.71,74.03,Valle de Chalco Solidaridad
Seguridad y protección,65.39,58.47,Valle de Chalco Solidaridad
Tasa de homicidios,65.39,58.47,Valle de Chalco Solidaridad
Espacio público,42.81,66.67,Valle de Chalco Solidaridad
Accesibilidad al espacio público abierto,75.37,81.43,Valle de Chalco Solidaridad
Áreas verdes per cápita,10.24,51.92,Valle de Chalco Solidaridad
EQUIDAD E INCLUSIÓN SOCIAL,68.39,73.19,Valle de Chalco Solidaridad
Equidad económica,40.55,53.43,Valle de Chalco Solidaridad
Coeﬁciente de Gini,57.17,58.01,Valle de Chalco Solidaridad
Tasa de pobreza,23.93,48.84,Valle de Chalco Solidaridad
Inclusión social,75.56,73.12,Valle de Chalco Solidaridad
Viviendas en barrios precarios,88.64,77.21,Valle de Chalco Solidaridad
Desempleo juvenil,62.47,69.02,Valle de Chalco Solidaridad
Inclusión de género,89.05,93.04,Valle de Chalco Solidaridad
Inscripción equitativa en educación a nivel secundario,89.05,93.04,Valle de Chalco Solidaridad
SOSTENIBILIDAD AMBIENTAL,76.08,39.37,Valle de Chalco Solidaridad
Calidad del aire,53.04,62.03,Valle de Chalco Solidaridad
Número de estaciones de monitoreo,,100.0,Valle de Chalco Solidaridad
Concentraciones de material particulado,60.0,40.0,Valle de Chalco Solidaridad
Concentración de CO2,46.08,46.08,Valle de Chalco Solidaridad
Manejo de residuos,99.12,56.09,Valle de Chalco Solidaridad
Recolección de residuos sólidos,99.12,94.37,Valle de Chalco Solidaridad
Tratamiento de aguas residuales,0.0,17.8,Valle de Chalco Solidaridad
Energía,0.0,0.0,Valle de Chalco Solidaridad
Proporción de generación de energía renovable,0.0,0.0,Valle de Chalco Solidaridad
GOBERNANZA Y LEGISLACIÓN URBANA,41.17,33.36,Valle de Chalco Solidaridad
Participación y rendición de cuentas,47.07,55.8,Valle de Chalco Solidaridad
Participación electoral,47.07,55.8,Valle de Chalco Solidaridad
Capacidad institucional y ﬁnanzas municipales,35.27,44.27,Valle de Chalco Solidaridad
Recaudación de ingresos propios,0.0,21.57,Valle de Chalco Solidaridad
Deuda subnacional,17.5,11.24,Valle de Chalco Solidaridad
Eﬁciencia del gasto local,88.32,100.0,Valle de Chalco Solidaridad
Gobernanza de la urbanización,,0.0,Valle de Chalco Solidaridad
Eﬁciencia en el uso de suelo,,0.0,Valle de Chalco Solidaridad
PRODUCTIVIDAD,51.32,,Apatzingán
Crecimiento económico,35.45,,Apatzingán
Producto urbano per cápita,16.09,,Apatzingán
Relación de dependencia de la tercera edad,54.8,,Apatzingán
Aglomeración económica,52.44,,Apatzingán
Densidad económica,52.44,,Apatzingán
Empleo,66.07,,Apatzingán
Tasa de desempleo,80.96,,Apatzingán
Relación empleo-población,51.18,,Apatzingán
INFRAESTRUCTURA DE DESARROLLO,67.59,,Apatzingán
Infraestructura de vivienda,70.03,,Apatzingán
Vivienda durable,74.39,,Apatzingán
Acceso a agua mejorada,88.96,,Apatzingán
Espacio habitable suﬁciente,100.0,,Apatzingán
Densidad poblacional,16.79,,Apatzingán
Infraestructura social,43.75,,Apatzingán
Densidad de médicos,43.75,,Apatzingán
Infraestructura de comunicaciones,39.91,,Apatzingán
Acceso a Internet,25.72,,Apatzingán
Velocidad de banda ancha promedio,54.1,,Apatzingán
Movilidad urbana,92.94,,Apatzingán
Longitud de transporte masivo,,,Apatzingán
Fatalidades de tránsito,92.94,,Apatzingán
Forma urbana,91.33,,Apatzingán
Densidad de la interconexión vial,100.0,,Apatzingán
Densidad vial,94.4,,Apatzingán
Superﬁcie destinada a vías,79.6,,Apatzingán
CALIDAD DE VIDA,67.82,,Apatzingán
Salud,81.85,,Apatzingán
Esperanza de vida al nacer,71.57,,Apatzingán
Tasa de mortalidad de menores de 5 años,92.12,,Apatzingán
Educación,63.1,,Apatzingán
Tasa de alfabetización,89.41,,Apatzingán
Promedio de años de escolaridad,36.79,,Apatzingán
Seguridad y protección,41.07,,Apatzingán
Tasa de homicidios,41.07,,Apatzingán
Espacio público,85.29,,Apatzingán
Accesibilidad al espacio público abierto,70.57,,Apatzingán
Áreas verdes per cápita,100.0,,Apatzingán
EQUIDAD E INCLUSIÓN SOCIAL,75.61,,Apatzingán
Equidad económica,48.42,,Apatzingán
Coeﬁciente de Gini,61.37,,Apatzingán
Tasa de pobreza,35.47,,Apatzingán
Inclusión social,86.16,,Apatzingán
Viviendas en barrios precarios,78.8,,Apatzingán
Desempleo juvenil,93.53,,Apatzingán
Inclusión de género,92.24,,Apatzingán
Inscripción equitativa en educación a nivel secundario,92.24,,Apatzingán
SOSTENIBILIDAD AMBIENTAL,54.39,,Apatzingán
Calidad del aire,23.04,,Apatzingán
Número de estaciones de monitoreo,,,Apatzingán
Concentraciones de material particulado,0.0,,Apatzingán
Concentración de CO2,46.08,,Apatzingán
Manejo de residuos,85.75,,Apatzingán
Recolección de residuos sólidos,85.75,,Apatzingán
Tratamiento de aguas residuales,0.0,,Apatzingán
Energía,0.0,,Apatzingán
Proporción de generación de energía renovable,0.0,,Apatzingán
GOBERNANZA Y LEGISLACIÓN URBANA,30.27,,Apatzingán
Participación y rendición de cuentas,49.52,,Apatzingán
Participación electoral,49.52,,Apatzingán
Capacidad institucional y ﬁnanzas municipales,25.03,,Apatzingán
Recaudación de ingresos propios,3.48,,Apatzingán
Deuda subnacional,0.0,,Apatzingán
Eﬁciencia del gasto local,71.62,,Apatzingán
Gobernanza de la urbanización,16.25,,Apatzingán
Eﬁciencia en el uso de suelo,16.25,,Apatzingán
PRODUCTIVIDAD,43.23,,Hidalgo
Crecimiento económico,30.51,,Hidalgo
Producto urbano per cápita,10.17,,Hidalgo
Relación de dependencia de la tercera edad,50.85,,Hidalgo
Aglomeración económica,49.42,,Hidalgo
Densidad económica,49.42,,Hidalgo
Empleo,49.75,,Hidalgo
Tasa de desempleo,69.67,,Hidalgo
Relación empleo-población,29.83,,Hidalgo
INFRAESTRUCTURA DE DESARROLLO,56.75,,Hidalgo
Infraestructura de vivienda,69.63,,Hidalgo
Vivienda durable,80.21,,Hidalgo
Acceso a agua mejorada,87.18,,Hidalgo
Espacio habitable suﬁciente,100.0,,Hidalgo
Densidad poblacional,11.13,,Hidalgo
Infraestructura social,33.92,,Hidalgo
Densidad de médicos,33.92,,Hidalgo
Infraestructura de comunicaciones,34.48,,Hidalgo
Acceso a Internet,14.86,,Hidalgo
Velocidad de banda ancha promedio,54.1,,Hidalgo
Movilidad urbana,81.59,,Hidalgo
Longitud de transporte masivo,,,Hidalgo
Fatalidades de tránsito,81.59,,Hidalgo
Forma urbana,64.16,,Hidalgo
Densidad de la interconexión vial,100.0,,Hidalgo
Densidad vial,40.17,,Hidalgo
Superﬁcie destinada a vías,52.3,,Hidalgo
CALIDAD DE VIDA,67.35,,Hidalgo
Salud,68.67,,Hidalgo
Esperanza de vida al nacer,71.57,,Hidalgo
Tasa de mortalidad de menores de 5 años,65.78,,Hidalgo
Educación,60.43,,Hidalgo
Tasa de alfabetización,87.14,,Hidalgo
Promedio de años de escolaridad,33.71,,Hidalgo
Seguridad y protección,58.46,,Hidalgo
Tasa de homicidios,58.46,,Hidalgo
Espacio público,81.86,,Hidalgo
Accesibilidad al espacio público abierto,63.72,,Hidalgo
Áreas verdes per cápita,100.0,,Hidalgo
EQUIDAD E INCLUSIÓN SOCIAL,69.52,,Hidalgo
Equidad económica,39.68,,Hidalgo
Coeﬁciente de Gini,54.44,,Hidalgo
Tasa de pobreza,24.92,,Hidalgo
Inclusión social,83.93,,Hidalgo
Viviendas en barrios precarios,75.75,,Hidalgo
Desempleo juvenil,92.11,,Hidalgo
Inclusión de género,84.95,,Hidalgo
Inscripción equitativa en educación a nivel secundario,84.95,,Hidalgo
SOSTENIBILIDAD AMBIENTAL,36.17,,Hidalgo
Calidad del aire,23.04,,Hidalgo
Número de estaciones de monitoreo,,,Hidalgo
Concentraciones de material particulado,0.0,,Hidalgo
Concentración de CO2,46.08,,Hidalgo
Manejo de residuos,84.69,,Hidalgo
Recolección de residuos sólidos,84.69,,Hidalgo
Tratamiento de aguas residuales,0.0,,Hidalgo
Energía,0.78,,Hidalgo
Proporción de generación de energía renovable,0.78,,Hidalgo
GOBERNANZA Y LEGISLACIÓN URBANA,28.02,,Hidalgo
Participación y rendición de cuentas,52.82,,Hidalgo
Participación electoral,52.82,,Hidalgo
Capacidad institucional y ﬁnanzas municipales,31.25,,Hidalgo
Recaudación de ingresos propios,0.0,,Hidalgo
Deuda subnacional,0.0,,Hidalgo
Eﬁciencia del gasto local,93.75,,Hidalgo
Gobernanza de la urbanización,0.0,,Hidalgo
Eﬁciencia en el uso de suelo,0.0,,Hidalgo
PRODUCTIVIDAD,60.8,60.93,Bahía de Banderas
Crecimiento económico,53.53,53.84,Bahía de Banderas
Producto urbano per cápita,33.58,34.43,Bahía de Banderas
